!INVITEM	NAME	REFNUM	TIMESTAMP	INVITEMTYPE	DESC	PURCHASEDESC	ACCNT	ASSETACCNT	COGSACCNT	QNTY	VALUE	PRICE	COST	TAXABLE	SALESTAXCODE	PAYMETH	TAXVEND	PREFVEND	REORDERPOINT	EXTRA	CUSTFLD1	CUSTFLD2	CUSTFLD3	CUSTFLD4	CUSTFLD5	DEP_TYPE	ISPASSEDTHRU	HIDDEN	DELCOUNT	USEID	ISNEW	PO_NUM	SERIALNUM	WARRANTY	LOCATION	VENDOR	ASSETDESC	SALEDATE	SALEEXPENSE	NOTES	ASSETNUM	COSTBASIS	ACCUMDEPR	UNRECBASIS	PURCHASEDATE
INVITEM	"Scheduled Arborist Consultation"			SERV	"Provide an I.S.A. Certified Arborist consultation in order to assess the condition of [TREES AND LOCATION] and provide treatment options for maintenance. (30 minutes on-site time)"		Sales						0	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	"test prt"			PROD	wer		Sales					12.00	12.00	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	"test prod colla[se"			PROD	wqe		Sales					123.00	123.00	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	"test prod colapsed 2"			PROD	qwe		Sales					12.00	12.00	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	qwe			PROD	qwe		Sales					12.00	12.00	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	test			PROD	test		Sales					1.00	1.00	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	"test 32"			PROD	4		Sales					12.00	12.00	Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	rewr			PROD			Sales							Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	6666			PROD			Sales							Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	9999			PROD			Sales							Y	Tax											0	N	N	0	N	Y								0			0	0	0		
INVITEM	111111			PROD			Sales							Y	Tax											0	N	N	0	N	Y								0			0	0	0		
